transaction_id,customer_id,customer_name,product_id,product_name,category,city,purchase_location,transaction_date,quantity,price,discount,payment_method,payment_status,email_masked,phone_masked,revenue
1,642,Troy Mitchell,108,Mixer Grinder,Home Appliances,Bangalore,offline,2025-12-06,3,15000.0,0.1,UPI,successful,T*****@gmail.com,83******68,40500.0
2,881,Sarah Guerrero,102,Phone,Electronics,Bangalore,online,2025-07-21,5,70000.0,0.35,Card,successful,S************@yahoo.com,71******11,227500.0
3,505,Samantha Hull,109,Refrigerator,Home Appliances,Chennai,offline,2025-07-11,2,65000.0,0.05,UPI,successful,S***********@outlook.com,74******65,123500.0
4,794,Gerald Cooper,106,Sofa,Furniture,Chennai,offline,2025-10-06,2,80000.0,0.05,UPI,successful,G***********@gmail.com,97******01,152000.0
5,864,Cameron Black,108,Mixer Grinder,Home Appliances,Chennai,offline,2025-12-12,1,15000.0,0.05,Cash,successful,C***********@yahoo.com,99******77,14250.0
6,181,Maria Robinson,101,Laptop,Electronics,Delhi,online,2025-07-25,5,250000.0,0.35,NetBanking,successful,M************@gmail.com,87******17,812500.0
6,181,Maria Robinson,101,Laptop,Electronics,Delhi,online,2025-07-25,5,250000.0,0.35,NetBanking,failed,M************@gmail.com,87******17,812500.0
7,142,Charles Brown,101,Laptop,Electronics,Hyderabad,online,2026-03-03,2,250000.0,0.05,UPI,successful,C*******@gmail.com,99******22,475000.0
8,457,Cathy Harris,102,Phone,Electronics,Hyderabad,online,2026-02-19,1,70000.0,0.05,Card,successful,C******@gmail.com,83******76,66500.0
9,749,Linda Lara,110,Microwave,Home Appliances,Mumbai,offline,2025-08-30,3,45000.0,0.3,Card,successful,L********@outlook.com,74******01,94500.0
10,146,Jose Thomas,102,Phone,Electronics,Bangalore,offline,2025-12-16,2,70000.0,0.4,UPI,successful,J*********@outlook.com,83******63,84000.0
11,946,Lisa Cochran,104,Shoes,Clothing,Delhi,offline,2025-12-15,4,8000.0,0.3,Card,successful,L**********@gmail.com,83******19,22400.0
12,757,Yvette Clark,106,Sofa,Furniture,Hyderabad,online,2025-06-30,3,80000.0,0.25,UPI,successful,Y**********@gmail.com,60******34,180000.0
13,838,Susan Torres,109,Refrigerator,Home Appliances,Chennai,offline,2025-06-14,5,65000.0,0.35,Cash,successful,S**********@outlook.com,87******26,211250.0
14,117,Brent Clark,109,Refrigerator,Home Appliances,Delhi,offline,2026-02-24,5,65000.0,0.2,Card,successful,B*********@gmail.com,90******98,260000.0
15,923,George Wilkinson,109,Refrigerator,Home Appliances,Mumbai,online,2026-01-31,5,65000.0,0.25,UPI,successful,G**************@gmail.com,65******22,243750.0
16,765,Eric Gaines,104,Shoes,Clothing,Bangalore,offline,2025-08-20,5,8000.0,0.15,NetBanking,successful,E*********@yahoo.com,76******27,34000.0
17,570,Donald Carter,102,Phone,Electronics,Chennai,offline,2025-05-19,3,70000.0,0.15,NetBanking,successful,D*******@gmail.com,79******19,178500.0
18,973,Allen Gilbert,108,Mixer Grinder,Home Appliances,Mumbai,offline,2025-05-15,2,15000.0,0.15,Card,successful,A***********@outlook.com,75******31,25500.0
19,786,Jeremiah Simmons,103,Shirt,Clothing,Chennai,offline,2025-09-07,4,1300.0,0.2,Cash,successful,J**************@outlook.com,71******16,4160.0
20,576,Angela Weiss,104,Shoes,Clothing,Delhi,online,2025-07-05,1,8000.0,0.15,Card,successful,A**********@yahoo.com,64******39,6800.0
21,256,Nicole Williams,109,Refrigerator,Home Appliances,Chennai,online,2025-12-10,3,65000.0,0.05,UPI,successful,N*******@gmail.com,92******32,185250.0
22,737,Kimberly Lloyd,109,Refrigerator,Home Appliances,Delhi,online,2025-03-11,4,65000.0,0.4,UPI,successful,K************@gmail.com,60******93,156000.0
23,104,Amanda Castillo,108,Mixer Grinder,Home Appliances,Hyderabad,online,2026-04-15,2,15000.0,0.25,UPI,successful,A*************@yahoo.com,92******48,22500.0
24,799,Stephanie Dunn,108,Mixer Grinder,Home Appliances,Delhi,offline,2025-05-16,3,15000.0,0.25,Cash,successful,S************@gmail.com,74******44,33750.0
